questionText,options[0],options[1],options[2],options[3],correctAnswer
Who has elected as 45th President of USA belongs to Republican Party by getting 290 electoral vote on 9 November-2016?,A. Donald Trump,B. Hillary Clinton,C. Barack Obama,D. Joe Biden,A. Donald Trump
BRICS Summit held on 15-16 October-2016 in?,A. Beijing (ChinA).,B. Goa (IndiA).,C. Cape Town (South AfricA).,D. Moscow (Russia).,B. Goa (IndiA).
Which country operated the world’s largest radio telescope Aperture Spherical Radio Telescope in September-2016?,A. USA,B. India,C. China,D. Norway,C. China
MIT is the spy agency of__________?,A. Russia,B. japan,C. North korea,D. Turkey,D. Turkey
Which river does NOT flow from Jammu and Kashmir?,A.	Indus,B.	Jhelum,C.	Chenab,D.	Ravi,D.	Ravi
KYODO is the news agency of_________?,A. Japan,B. India,C. China,D. Pakistan,A. Japan
Which country’s  village ummal Al jimal has been added to UNESCO’S world heritage list:,A. Jordan,B. Syria,C. Iraq,D. Egypt,A. Jordan
How many yards is a cricket pitch?,A. 18 yards,B. 20 yards,C. 22 yards,D. 24 yards,C. 22 yards
What is the capital of Finland?,A. Helsinki,B. Oslo,C. Ottawa,D. None,A. Helsinki
Which Country has more Lakes than most of the World Combined ?,A. Finland,B. Switzerland,C. Canada,D. Estonia,C. Canada
Zanzibar is now part of which country?,A. Kenya,B. Tanzania,C. Uganda,D. Mozambique,B. Tanzania
Who is credited with the discovery of Canada?,A. Christopher Columbus,B. Ferdinand Magellan,C. John Cabot,D. Jacques Cartier,C. John Cabot
"Human ,equator of the Earth is called ?",A. Equator,B. Equador,C. The Himalayas,D. The karakaram,C. The Himalayas
"Indira Gandhi, the 3rd Prime Minister of India, belonged to which clan?",A. Azad,B. Tagore,C. Nehru,D. Gandhi,C. Nehru
‘Etna’ most active volcano in Europe is located in which country?,A. Germany,B. Spain,C. Italy,D. Sweden,C. Italy
The severity of 2005 earthquake in Pakistan on Richter scale was ?,A. 6.9,B. 7.6,C. 7.1,D. none,B. 7.6
The exact time taken by the earth for single rotation on its own axis is?,A. 24 hrs,B. 24 hrs 35 sec,C. 23 hrs 50 minutes 7.2 sec,D. 23 hrs 56 minutes 4.09 sec,D. 23 hrs 56 minutes 4.09 sec
Which country were involved in 100 year war?,A. Turkey and Austria,B. England and France,C. Palestine and Israel,D. Germany and Russia,B. England and France
The capital of Iceland is ___________?,A. Loma,B. Port Vila,C. Reykjavik,D. Free Town,C. Reykjavik
Maximum spoken language in the world is____________?,A. Arabic,B. English,C. Mandarin,D. Spanish,C. Mandarin
The largest automobile manufacturing center in the world is located at ?,A. Detroit,B. Tokyo,C. Birmingham,D. Berlin,A. Detroit
The largest lake of salt water in the world is ?,A. Baykal,B. Chad,C. Kariba,D. Caspian,D. Caspian
Second most populous country in the world is ___________?,A. Russia,B. India,C. China,D. Indonesia,C. China
Indonesia is situated in ?,A. South-East Asia,B. South Asia,C. North-East Asia,D. West Asia,A. South-East Asia
The Industrial revolution first took place in:,A. England,B. America,C. France,D. Germany,A. England
Denmark is Situated in?,A. Eastern Europe,B. Western Europe,C. Northern Europe,D. Southern Europe,C. Northern Europe
Who among the following was a poet of the Italian Renaissance?,A. Rossetti,B. Virgil,C. Homer,D. A Dante,D. A Dante
The “Communist Manifesto” was first published in?,A. French,B. German,C. English,D. Russian,B. German
"Number of seats in Lok Sabha, lower house of Indian parliament?",A. 533,B. 543,C. 433,D. 443,B. 543
"Kawah Ijen volcano, famous for its blue lava, is located in which country?",A. Philippines,B. Indonesia,C. Japan,D. Malaysia,B. Indonesia
Social media platform “Thread” was launched on: ___________?,"A. December 15, 2022","B. March 23, 2023","C. July 05, 2023","D. November 9, 2023","C. July 05, 2023"
Pink Lake Hillier is situated in which country?,A. Indonesia,B. Australia,C. New Zealand,D. USA,B. Australia
"Banff National Park, Canada’s oldest national park, is located in which province?",A. British Columbia,B. Alberta,C. Ontario,D. Quebec,B. Alberta
In which country ‘Tabuik festival’ is celebrated?,A. Indonesia,B. Malaysia,C. India,D. Singapore,A. Indonesia
The deepest place on earth is ____________?,A. Trench,B. Mariana Trench,C. Mangrove,D. Groove,B. Mariana Trench
The Continent Antarctica lies at the__________?,A. North pole,B. South pole,C. middle of the earth,D. Equator,B. South pole
Drachma was the currency of ____________?,A. France,B. Ghana,C. Greece,D. Egypt,C. Greece
“International day of the UN Peacekeepers ” is celebrated every year on ____________?,A. 29 May,B. 10 December,C. 24 October,D. 4 July,A. 29 May
The famous book; Al – Qanun was written by the Muslim scientist ?,A. Jabar bin Hayyan,B. Zakariya Al – Razi,C. Abu Ali Sina,D. Abdul Qasim Majreeti,C. Abu Ali Sina
Polo game originated from __________ ?,A. Gilgit Baltistan,B. Iran,C. USA,D. Subcontinent,B. Iran
World Inventor’s Day is celebrated on _____________?,A. 9th November,B. 8th April,C. 31st April,D. 23rd April,A. 9th November
World Tuberculosis Day is observed on ____________?,A. 21st March,B. 24th March,C. 26th March,D. 25th March,B. 24th March
World’s Oldest Cave Paintings has recently been discovered in _____________?,A. Singapore,B. Vietnam,C. Malaysia,D. Indonesia,D. Indonesia
Which country in the the world is carbon negative country?,A. Singapore,B. Turkey,C. Bhutan,D. Poland,C. Bhutan
In which year was OIC founded?,A. 1970,B. 1975,C. 1980,D. 1969,D. 1969
What is the length of Karakoram Highway?,A. 810 miles,B. 910 miles,C. 710 miles,D. None of these,A. 810 miles
Largest Gulf in the World is__________?,A. Persian Gulf,B. Mexico Gulf,C. Gulf of Oman,D. Gulf of Africa,B. Mexico Gulf
Hockey was introduced in the Asian Games in ?,A. 1958 in Tokyo,B. 1962 in Jakarta,C. 1966 in Bangkok,D. 1970 in Bangkok,A. 1958 in Tokyo
First International Peace Congress was held in London in ?,A. 1564 AD,B. 1843 AD,C. 1845 AD,D. 1545 AD,B. 1843 AD
Headquarters of UNO are situated at ?,"A. New York, USA",B. Haque (Netherlands),C. Geneva,D. Switzerland,"A. New York, USA"
"During World War II, when did Germany attack France ?",A. 1941,B. 1940,C. 1942,D. 1945,B. 1940
"Georgia, Uzbekistan and Turkmenistan became the members of UNO in ?",A. 1991,B. 1992,C. 1993,D. 1994,B. 1992
Fire temple is the place of worship of which of the following religion ?,A. Taoism,B. Judaism,C. Zoroastrianism (Parsi Religion),D. Shintoism,C. Zoroastrianism (Parsi Religion)
Each year World Red Cross and Red Crescent Day is celebrated on ?,A. May 8,B. May 18,C. June 8,D. June 18,A. May 8
What is the second largest desert in the world after the Sahara desert?,A. Gobi Desert,B. Arabian Desert,C. Kalahari Desert,D. Libyan Desert,B. Arabian Desert
Who was the first Emperor in China ?,A. Qin Shi Huagdi,B. Sun Yat Sen,C. Kublai Khan,D. None of these,A. Qin Shi Huagdi
Which bird with a distinctive call lays its eggs in the nests of other birds?,A. Cuckoo,B. Sparrow,C. Parrot,D. Humming bird,A. Cuckoo
Which continent comprises the land around the South Pole ?,A. Asia,B. Africa,C. Antarctica,D. Europe,C. Antarctica
Which country is the most popular destination for foreign tourists ?,A. Switzerland,B. France,C. Germany,D. Australia,B. France
How many squares has a chessboard ?,A. 24,B. 52,C. 45,D. 64,D. 64
Which is Australia’s largest city by population,A. Sydney,B. Melbourne,C. Perth,D. None of these,A. Sydney
What is the name of the large salty lake which lies between Israel and Jordan?,A. Salt Lake,B. Dead Sea,C. Death Lake,D. None of these,B. Dead Sea
What is the world’s largest living mammal ?,A. Elephant,B. Blue Whale,C. Shark,D. Giraffe,B. Blue Whale
In which US state is the city of San Diego ?,A. California,B. Arizona,C. Florida,D. Virginia,A. California
How many white stars are on the national flag of the USA ?,A. 20,B. 30,C. 40,D. 50,D. 50
What are the three main languages of Switzerland ?,"A. German, French and Italian","B. German, French and English","C. German, French and Spanish","D. English, French and Italian","A. German, French and Italian"
Which country is the world’s largest producer of coffee ?,A. Taiwan,B. UK,C. Brazil,D. Switzerland,C. Brazil
"What is the capital of Queensland, Australia ?",A. Brisbane,B. Brussels,C. Beijing,D. Doha,A. Brisbane
What is the standard monetary unit of Turkey ?,A. Lira,B. Penny,C. Euro,D. Dollar,A. Lira
What is the official language of Mexico ?,A. Spanish,B. French,C. Italian,D. English,A. Spanish
The total Area of the Capital of Pakistan ‘Islamabad’ is ?,A. 800 sq Km,B. 850 sq Km,C. 900 sq Km,D. 906 sq Km,D. 906 sq Km
Where is the tomb of Mughal Emperor Jahangir ?,A. Sialkot,B. Multan,C. Lahore,D. Karachi,C. Lahore
Which city in Switzerland was the headquarters of the League of Nations ?,A. Brussels,B. Geneva,C. Canberra,D. none of these,B. Geneva
Who was the first president of the United States of America ?,A. George Washington,B. George Harrison,C. Robert Zemeckis,D. none of these,A. George Washington
Which two primary colours are mixed to make purple ?,A. red and green,B. red and blue,C. red and yellow,D. red and white,B. red and blue
The most beautiful stone-Marble is extracted from which province of Pakistan ?,A. Punjab,B. Sindh,C. Khyber Pakhtunkhwa,D. Baluchistan,C. Khyber Pakhtunkhwa
headquarters of the multinational company Nestle is in ?,A. Switzerland,B. Venice,C. Japan,D. Norway,A. Switzerland
Which colour is produced by adding together yellow and cyan ?,A. Green,B. Red,C. Blue,D. Pink,A. Green
Which country is largest in area?,A. China,B. Canada,C. Russia,D. India,C. Russia
The largest planet is ?,A. Jupiter,B. Mercury,C. Venus,D. Earth,A. Jupiter
Headquarter of Ghandhara civilization is in ?,A. Khatmandu,B. Larkana,C. Quetta,D. Taxilla,D. Taxilla
Headquarter of Pakistan NAVY is in ?,A. Lahore,B. Karachi,C. Islamabad,D. Rawalpindi,C. Islamabad
The first prime minister of Bangladesh was,A. Liaqat Ali,B. Mujibur Rehman,C. Yahya Khan,D. Tajuddin Ahmad,D. Tajuddin Ahmad
Hindenburg Line is in between ?,A. India and China,B. Germany and Poland,C. France and Germany,D. India and Pakistan,B. Germany and Poland
Highest Dam in world is ?,A. Hirakud Dam on the river Mahanadi-Orissa,B. Bhakra Nangal on river Sutlej,C. The Grande,D. None of these,D. None of these
Largest Museum in the world is in,A. USA,B. China,C. France,D. Europe,C. France
The world oldest known city is,A. Tokyo,B. Damascus,C. Paris,D. Beijing,B. Damascus
Driest place in the world is,A. Death Valley(California),B. Sahara(Africa),C. Barmer(Rajasthan),D. none of these,A. Death Valley(California)
Which is known as City of Skyscrapers?,A. New York,B. Paris,C. Belgium,D. Chicago,A. New York
"What name is given to the programs run by a computer, as opposed to the hardware?",A. program,B. software,C. input,D. output,B. software
The name of which animal is an Aboriginal term meaning ‘no water’?,A. Rat,B. Snake,C. Koala,D. Lizard,C. Koala
Which animal has the biggest eyes of any living creature?,A. Elephant,B. Kangaroo,C. Owl,D. Colossal squid,D. Colossal squid
"What are the flat, treeless plains of Argentina called",A. Pampas,B. Moss,C. Lichen,D. none of these,A. Pampas
Attock fort was constructed by?,A. Jahangeer,B. Aurangzeb,C. Akbar,D. none of these,C. Akbar
Mancher lake situated in?,A. Sawat,B. Dadu,C. Jamshoro,D. Gilgit,C. Jamshoro
First China War was fought between,A. China and Britain,B. China and France,C. China and Egypt,D. China and Greek,A. China and Britain
Which Country has the oldest monarchy?,A. Turkey,B. Japan,C. Rome,D. Ireland,B. Japan
First Afghan War took place in ?,A. 1838,B. 1837,C. 1839,D. 1840,C. 1839
ITAR-TASS is the news agency of which country?,A. Russia,B. China,C. India,D. Afghanistan,A. Russia
Which food item takes its name from the French for twice cooked,A. burger,B. pizza,C. biscuit,D. none of these,C. biscuit
Which is the largest Oil Producing Member Country of OPEC?,A. Kuwait,B. Bahrain,C. Qatar,D. Saudi Arabia,D. Saudi Arabia
Which Country is the Second largest Arms Exporter of the World,A. India,B. Russia,C. China,D. America,B. Russia
The social network site “Twitter” was launched on __________ .,"A. March 21, 2003","B. March 21, 2004","C. March 21, 2005","D. March 21, 2006","D. March 21, 2006"
The monetary unit of Bangladesh is________?,A. Lek,B. Taka,C. Shilling,D. Kyat,B. Taka
The OIC was founded in __________ .,A. Saudi Arabia,B. Iraq,C. Qatar,D. Morocco,D. Morocco
Epsom (England) is the place associated with,A. horse racing,B. polo,C. shooting,D. snooker,A. horse racing
Which SAARC Member Country has Largest Literacy Rate among the following?,A. Bangladesh,B. Sri Lanka,C. China,D. Indonesia,B. Sri Lanka
The soviet media theory had its roots in,A. Italian Fascist philosophy,B. Free enterprize approach of west,C. German ideology,D. Japanese imperialist edicts,C. German ideology
The International Monetary Fund (IMF) was founded on __________ .,A. 27 December 1944,B. 27 December 1945,C. 27 December 1946,D. 27 December 1947,B. 27 December 1945
The capital of Saudi Arabia is?,A. Makkah,B. Madina,C. Taif,D. Riyadh,D. Riyadh
The National Aeronautics and Space Administration (NASA) was formed in?,A. 1958,B. 1960,C. 1962,D. 1964,A. 1958
Thomas Cup is associated with which Game,A. badminton,B. football,C. hockey,D. none of these,A. badminton
For which of the following disciplines Nobel Prize is awarded?,A. Physics and Chemistry,B. Physiology or Medicine,"C. Literature, Peace and Economics",D. all of these,D. all of these
FFC stands for,A. Foreign Finance Corporation,B. Film Finance Corporation,C. Federation of Football Council,D. none of these,B. Film Finance Corporation
"The 6th organ, “Trusteeship Council” of the United Nations suspended operation on November 01, 1994, with the independence of _________.",A. Chad,B. Sudan,C. Palau,D. Tunisia,C. Palau
"Eritrea, which became the 182nd member of the UN in 1993, is in the continent of",A. Asia,B. Africa,C. Europe,D. Australia,B. Africa
The currency of Qatar is?,A. Dollar,B. Dinar,C. Dirham,D. Riyal,D. Riyal
7 April is observed internationally as?,A. Women’s Day,B. World Water Day,C. World Health Day,D. Human Rights Day,C. World Health Day
Which sign of the zodiac is also called The Water bearer?,A. Scorpio,B. Leo,C. Gemini,D. Aquarius,D. Aquarius
What is the capital of Vietnam,A. Dhaka,B. Ajmaan,C. Hanoi,D. none of these,C. Hanoi
22 March is observed internationally as?,A. Women’s Day,B. World Water Day,C. World Health Day,D. Human Rights Day,B. World Water Day
Hitler party which came into power in 1933 is known as,A. Labour Party,B. Nazi Party,C. Ku-Klux-Klan,D. Democratic Party,B. Nazi Party
"Grand Central Terminal, Park Avenue, New York is the world’s",A. largest railway station,B. highest railway station,C. longest railway station,D. none of these,A. largest railway station
The United Nations has __________ principal organs.,A. 4,B. 5,C. 6,D. 7,C. 6
Which one of the following countries made an exit from Kyoto Protocol.,A. France,B. India,C. Canada,D. China,C. Canada
The largest peninsula in the world is,A. Arabia,B. Asia,C. Africa,D. Europe,A. Arabia
Organisation of Islamic Cooperation (OIC) was founded on __________ ?,"A. September 25, 1966","B. September 25, 1967","C. September 25, 19698","D. September 25, 1969","D. September 25, 1969"
Largest Arms Importer of the World is,A. Africa,B. Saudi Arabia,C. India,D. Bangladesh,C. India
Reuters is the news agency of __________ .,A. United States,B. United Kingdom,C. France,D. Germany,B. United Kingdom
"First human heart transplant operation conducted by Dr. Christian Bernard on Louis Washkansky, was conducted in",A. 1968,B. 1967,C. 1958,D. none of these,B. 1967
